VALUES, FULL GPU, FULL CPU, FULL CPU MT, GPU-CPU, GPU-CPU MT, FULL GPU ATOMIC
34000,8823,453374,294957,25806,122932,10403
34100,8812,458605,304400,24487,119637,10224
34200,8800,455738,305505,24470,121611,10291
34300,8864,460298,314805,25951,120579,10297
34400,9278,463726,302500,24404,124118,10530
34500,9360,506274,313422,24256,125595,10880
34600,8941,462177,308641,25693,122273,10447
34700,8807,501835,301947,24707,123806,10432
34800,8860,463796,310035,27040,122795,10313
34900,8912,466400,314931,27213,122672,10411
35000,8823,466242,315762,24888,121565,10454
35100,8978,475499,317183,24805,118763,10706
35200,8848,469430,312344,24794,121325,10520
35300,8872,470629,311024,24693,119885,10434
35400,8889,515814,322534,25213,118384,10558
35500,9003,474911,302827,27997,122963,10637
35600,9353,475418,308301,25360,118769,10923
35700,8896,476986,308213,28056,118982,10532
35800,8800,484915,320696,27505,125257,10546
35900,9289,507667,306207,24828,121507,10717
36000,8887,480017,312045,25391,121772,10871
36100,9128,480821,351616,27490,117085,11222
36200,8882,536668,312438,25454,125369,11015
36300,8856,483660,317841,25102,118368,10670
36400,8921,484824,320259,25101,117957,10689
36500,8956,488022,316814,26614,124818,10753
36600,8994,490604,319228,25516,121364,10692
36700,8893,490064,347943,24993,119201,10676
36800,8914,491626,320323,26792,118216,10639
36900,8930,493289,312779,25339,122936,10904
37000,8849,492808,325345,25110,116483,10850
37100,9383,502136,316632,25588,118892,11298
37200,8897,496844,311696,25481,120846,10809
37300,8988,498061,319176,25503,119919,11136
37400,8971,498711,317998,24937,118496,10803
37500,8894,503740,316649,25701,122553,10799
37600,9004,509261,311744,25662,127721,10882
37700,8968,607802,321661,25859,120027,10849
37800,9116,503595,316713,27841,121928,10875
37900,9104,509267,320517,24935,122978,10984
38000,8919,514829,328814,27664,123537,10969
38100,8926,550127,317284,28124,123327,11206
38200,8972,511744,330360,25891,122124,11071
38300,8939,510740,321770,27615,121184,11172
38400,9072,530617,317189,26171,125337,11270
38500,9004,513024,315604,25490,125019,11088
38600,8998,519549,319928,25380,121186,11066
38700,8920,515712,317364,25331,126456,11378
38800,9129,534586,323492,28021,121015,10999
38900,8966,518408,322724,25115,125218,10989
39000,8966,520951,327026,28249,125203,11202
39100,9008,529717,326098,28040,117601,11282
39200,8912,530246,322089,28215,124976,11224
39300,8970,525991,326315,25934,121616,11207
39400,8984,534604,334538,26723,118876,11305
39500,9050,531402,323049,25402,124634,11549
39600,8974,541076,333982,26714,119630,11206
39700,9643,535888,325523,26177,128599,11885
39800,10401,533914,327620,25401,121729,11578
39900,9060,538358,327865,26178,125005,11211
40000,9450,546313,325258,26577,121022,12080
40100,9337,543744,338255,25487,118994,12039
40200,9454,578977,324482,29066,122719,11984
40300,9129,614959,329611,25530,138096,11376
40400,9058,615501,333942,26253,125241,11696
40500,9124,619982,321640,25498,121494,11351
40600,9104,608412,333798,26299,119450,11628
40700,9007,623181,328925,25489,127825,11439
40800,9021,567934,335052,26185,121772,11444
40900,9007,545536,323245,25939,127402,11418
41000,9166,549426,327918,26310,123664,11528
41100,9027,550317,326970,25791,125599,11636
41200,9116,573625,326496,26083,117537,11618
41300,9626,552297,338391,25570,118681,12224
41400,9148,554447,328320,26060,124448,11747
41500,9039,557561,334139,25687,121620,11585
41600,9054,560824,333511,25615,121761,11742
41700,9136,556199,334138,26683,120974,11576
41800,9046,557672,338221,26033,126133,11585
41900,9164,574985,333795,26657,119420,11660
42000,9341,566835,334820,25606,127241,11977
42100,9045,561125,337564,25694,124980,11769
42200,9246,572271,339757,26693,124191,11785
42300,9647,598882,334183,26017,124070,12831
42400,9093,641910,334907,26402,126433,11815
42500,9030,567291,338896,25927,123841,11705
42600,9001,576134,330003,25931,127370,11736
42700,9402,574218,334213,26669,121789,12489
42800,9395,571855,330662,26224,123239,12058
42900,9685,572689,338055,28476,121775,12363
43000,9501,591637,334783,28781,125168,12811
43100,9119,575005,350371,27462,122907,11828
43200,9069,575512,330122,26243,123898,11953
43300,9113,577335,339791,26148,123052,12077
43400,9501,590245,339081,26287,123232,12856
43500,9192,583399,341520,26150,122113,11992
43600,9049,584527,338471,26086,123114,11975
43700,9065,586956,342884,26883,122065,12026
43800,9593,586042,334557,31764,121650,12678
43900,9793,586945,342651,26221,128514,12559
44000,9106,589579,340085,25725,121881,12127
44100,9202,658658,342948,26555,126978,12435
44200,9087,595233,339328,26144,121848,12093
44300,9503,593503,343060,26712,133131,12198
44400,9300,594985,343176,27711,122281,12411
44500,9471,597929,346717,26186,119906,12461
44600,9111,604139,338710,26221,128077,12353
44700,9217,596574,344981,26128,122750,12424
44800,9013,609078,365402,26245,128034,12334
44900,9114,598096,343147,26491,120090,12139
45000,9074,599348,339631,26517,122895,12151
45100,9277,600895,357031,26739,127812,12156
45200,9242,628363,346165,26170,121252,12388
45300,9104,613209,346799,26233,129929,12322
45400,9416,608162,352852,27249,122059,12436
45500,9117,616591,344585,29396,122553,12509
45600,9223,607581,349034,26496,120468,12368
45700,9270,614206,344192,26619,121141,12446
45800,9107,610879,346273,27478,135808,12518
45900,9096,611281,348206,26853,126450,12371
46000,9204,613478,344342,26419,123640,12380
46100,9211,620969,356611,27240,124157,12619
